df_index,open    ,high    ,close   ,low     ,volume     ,price_change,p_change,ma5      ,ma10     ,ma20     ,v_ma5       ,v_ma10      ,v_ma20      ,macd               ,dea                 ,hist                ,date      ,value
32      ,10353.02,10382.77,10324.47,10239.97,164776512.0,32.35       ,0.31    ,10410.228,10456.65 ,10606.211,181001424.0 ,191208220.8 ,193196780.0 ,                   ,                    ,                    ,2018-04-27,11326.27
33      ,10356.19,10433.28,10342.85,10283.52,160567088.0,18.38       ,0.18    ,10412.672,10428.756,10585.557,177198880.0 ,188448982.4 ,191596401.6 ,-157.26527878244633,-144.60937810377698 ,-12.655900678669354 ,2018-05-02,11326.27
34      ,10329.16,10459.39,10458.62,10228.26,177743312.0,115.77      ,1.12    ,10393.032,10435.102,10565.056,174553542.4 ,185994673.6 ,190028409.6 ,-147.14460903528743,-145.11642429007907 ,-2.028184745208364  ,2018-05-03,11326.27
35      ,10428.85,10490.06,10426.19,10411.83,150582432.0,-32.43      ,-0.31   ,10368.85 ,10428.606,10543.718,168000358.4 ,179469422.4 ,185620384.0 ,-140.1254562814138 ,-144.11823068834602 ,3.9927744069322273  ,2018-05-04,11326.27
36      ,10456.43,10626.51,10626.51,10450.49,174177184.0,200.32      ,1.92    ,10435.728,10431.422,10537.329,165569305.6 ,176488283.2 ,183919040.8 ,-117.0493057616386 ,-138.70444570300452 ,21.655139941365917  ,2018-05-07,11326.27
37      ,10632.11,10721.98,10707.8 ,10630.58,182770928.0,81.29       ,0.77    ,10512.394,10461.311,10538.491,169168188.8 ,175084806.4 ,183399400.8 ,-91.15113306652529 ,-129.1937831757087  ,38.0426501091834    ,2018-05-08,11326.27
38      ,10693.22,10705.15,10689.07,10639.92,169498640.0,-18.73      ,-0.17   ,10581.638,10497.155,10540.275,170954499.2 ,174076689.6 ,182584598.4 ,-71.31591362657491 ,-117.61820926588193 ,46.30229563930702   ,2018-05-09,11326.27
39      ,10706.73,10742.64,10729.77,10651.87,180925296.0,40.7        ,0.38    ,10635.868,10514.45 ,10538.483,171590896.0 ,173072219.2 ,181643783.2 ,-51.71605892431762 ,-104.43777919756907 ,52.72172027325145   ,2018-05-10,11326.27
40      ,10748.89,10752.82,10634.3 ,10634.23,180171408.0,-95.47      ,-0.89   ,10677.49 ,10523.17 ,10529.779,177508691.2 ,172754524.8 ,181102135.2 ,-43.386531064435985,-92.22752957094245  ,48.840998506506466  ,2018-05-11,11326.27
41      ,10649.11,10723.79,10671.46,10641.29,169570272.0,37.16       ,0.35    ,10686.48 ,10561.104,10527.005,176587308.8 ,171078307.2 ,180996304.0 ,-33.40178381165788 ,-80.46238041908553  ,47.060596607427655  ,2018-05-14,11326.27
42      ,10692.82,10747.99,10747.99,10632.55,157932640.0,76.53       ,0.72    ,10694.518,10603.456,10530.053,171619651.2 ,170393920.0 ,180801070.4 ,-19.093371761058734,-68.18857868748017  ,49.09520692642144   ,2018-05-15,11326.27
43      ,10713.59,10776.43,10701.32,10691.14,165521872.0,-46.67      ,-0.43   ,10696.968,10639.303,10534.03 ,170824297.6 ,170889398.4 ,179669190.4 ,-11.38845210020736 ,-56.82855337002561  ,45.44010126981825   ,2018-05-16,11326.27
44      ,10702.07,10713.71,10635.5 ,10615.92,150682896.0,-65.82      ,-0.61   ,10678.114,10656.991,10546.047,164775817.6 ,168183356.8 ,177089015.2 ,-10.47264949298551 ,-47.55737259461759  ,37.08472310163208   ,2018-05-17,11326.27
45      ,10623.91,10679.51,10672.52,10557.75,154568048.0,37.02       ,0.35    ,10685.758,10681.624,10555.115,159655145.6 ,168581918.4 ,174025670.4 ,-6.6826315016514855,-39.38242437602437  ,32.69979287437288   ,2018-05-18,11326.27
46      ,10741.19,10789.76,10765.35,10731.61,191005744.0,92.83       ,0.87    ,10704.536,10695.508,10563.465,163942240.0 ,170264774.4 ,173376528.8 ,3.768153323486331  ,-30.752308836122225 ,34.520462159608556  ,2018-05-21,11326.27
47      ,10754.7 ,10765.81,10765.81,10689.51,179543856.0,0.46        ,0.0     ,10708.1  ,10701.309,10581.31 ,168264483.2 ,169942067.2 ,172513436.8 ,11.94984339077746  ,-22.211878390742285 ,34.161721781519745  ,2018-05-22,11326.27
48      ,10746.82,10746.82,10631.12,10631.12,186496576.0,-134.69     ,-1.25   ,10694.06 ,10695.514,10596.335,172459424.0 ,171641860.8 ,172859275.2 ,7.479317450439339  ,-16.27363922250596  ,23.7529566729453    ,2018-05-23,11326.27
49      ,10632.5 ,10657.45,10564.13,10552.35,158449312.0,-66.99      ,-0.63   ,10679.786,10678.95 ,10596.7  ,174012707.2 ,169394262.4 ,171233240.8 ,-1.4523973740451765,-13.309390852813802 ,11.856993478768626  ,2018-05-24,11326.27
50      ,10550.63,10576.81,10448.22,10435.95,172760864.0,-115.91     ,-1.1    ,10634.926,10660.342,10591.756,177651270.4 ,168653208.0 ,170703866.4 ,-17.680009873296513,-14.183514656910344 ,-3.496495216386169  ,2018-05-25,11326.27
51      ,10439.65,10536.57,10465.54,10382.72,169664096.0,17.32       ,0.17    ,10574.964,10639.75 ,10600.427,173382940.8 ,168662590.4 ,169870448.8 ,-28.810817274437795,-17.108975180415833 ,-11.701842094021963 ,2018-05-28,11326.27
52      ,10446.99,10517.14,10349.07,10347.94,168436144.0,-116.47     ,-1.11   ,10491.616,10599.858,10601.657,171161398.4 ,169712940.8 ,170053430.4 ,-46.49426105283237 ,-22.98603235489914  ,-23.50822869793323  ,2018-05-29,11326.27
53      ,10203.66,10252.15,10105.79,10097.48,197606896.0,-243.28     ,-2.35   ,10386.55 ,10540.305,10589.804,173383462.4 ,172921443.2 ,171905420.8 ,-79.22591345980436 ,-34.23400857588018  ,-44.99190488392418  ,2018-05-30,11326.27
54      ,10178.96,10295.73,10295.73,10115.66,174687664.0,189.94      ,1.88    ,10332.87 ,10506.328,10581.66 ,176631132.8 ,175321920.0 ,171752638.4 ,-88.81560222925873 ,-45.150327306555894 ,-43.665274922702835 ,2018-05-31,11326.27
55      ,10247.16,10280.74,10169.35,10122.99,162718880.0,-126.38     ,-1.23   ,10277.096,10456.011,10568.818,174622736.0 ,176137003.2 ,172359460.8 ,-105.39834297764173,-57.19993044077306  ,-48.19841253686867  ,2018-06-01,11326.27
56      ,10192.04,10237.6 ,10204.32,10148.69,145772240.0,34.97       ,0.34    ,10224.852,10399.908,10547.708,169844364.8 ,171613652.8 ,170939213.6 ,-114.399768430334  ,-68.63989803868525  ,-45.75987039164876  ,2018-06-04,11326.27
57      ,10216.63,10385.61,10385.61,10216.02,152789664.0,181.29      ,1.78    ,10232.16 ,10361.888,10531.599,166715068.8 ,168938233.6 ,169440150.4 ,-105.6865858826659 ,-76.04923560748138  ,-29.637350275184517 ,2018-06-05,11326.27
58      ,10375.26,10403.93,10365.13,10337.71,145456736.0,-20.48      ,-0.2    ,10284.028,10335.289,10515.402,156285036.8 ,164834249.6 ,168238055.2 ,-99.28934501617368 ,-80.69725748921984  ,-18.592087526953847 ,2018-06-06,11326.27
59      ,10397.65,10411.56,10313.85,10308.06,147571360.0,-51.28      ,-0.49   ,10287.652,10310.261,10494.606,150861776.0 ,163746454.4 ,166570358.4 ,-97.23647145962059 ,-84.00510028329998  ,-13.231371176320607 ,2018-06-07,11326.27
60      ,10290.63,10291.9 ,10205.52,10136.58,151727248.0,-108.33     ,-1.05   ,10294.886,10285.991,10473.167,148663449.6 ,161643092.8 ,165148150.4 ,-103.16169620637083,-87.83641946791415  ,-15.32527673845668  ,2018-06-08,11326.27
61      ,10191.31,10242.76,10175.35,10141.27,131225344.0,-30.17      ,-0.3    ,10289.092,10256.972,10448.361,145754070.4 ,157799217.6 ,163230904.0 ,-109.03505808822592,-92.0761471919765   ,-16.95891089624942  ,2018-06-11,11326.27
62      ,10187.31,10323.0 ,10315.28,10124.98,142568224.0,139.93      ,1.38    ,10275.026,10253.593,10426.726,143709782.4 ,155212425.6 ,162462683.2 ,-101.23162300320291,-93.90724235422178  ,-7.324380648981133  ,2018-06-12,11326.27
